drug,target
Butorphanol,P35372
Butorphanol,P41145
Butorphanol,P41143
Entacapone,P21964
Icosapent,Q8NER1
Icosapent,O95573
Icosapent,P23219
Icosapent,P32418
Icosapent,O60427
Icosapent,P37231
Icosapent,O60488
Icosapent,O14842
Icosapent,P35354
Icosapent,Q03181
Mephentermine,P08913
Mephentermine,P13945
Mephentermine,P08588
Mephentermine,P18089
Mephentermine,P25100
Mephentermine,P35368
Mephentermine,P35348
Mephentermine,P07550
Mephentermine,P18825
Fosinopril,P12821
Chlorphenamine,P35367
Chlorphenamine,P31645
Chlorphenamine,Q01959
Chlorphenamine,P23975
Sodium stibogluconate,P11387
Tazarotene,P13631
Tazarotene,P10826
Tazarotene,P10276
Tazarotene,P28702
Fleroxacin,P43700
Fleroxacin,P43702
Fleroxacin,P11388
Fospropofol,P47870
Fospropofol,P28472
Ribostamycin,P0A5N0
Ribostamycin,P07237
Ribostamycin,P0A7S3
Ribostamycin,Q9R381
Ephedra,P08913
Ephedra,P21397
Ephedra,P13945
Ephedra,P08588
Ephedra,P18089
Ephedra,P31645
Ephedra,P27338
Ephedra,P07550
Ephedra,Q01959
Ephedra,Q05940
Ephedra,P54219
Ephedra,P18825
Ephedra,P23975
Progabide,P14867
Progabide,Q9UBS5
Vemurafenib,P15056
Homatropine Methylbromide,P20309
Homatropine Methylbromide,P08173
Homatropine Methylbromide,P08912
Homatropine Methylbromide,P11229
Homatropine Methylbromide,P08172
Cefmetazole,P0AEB2
Cefmetazole,P02919
Cefmetazole,P0AD68
Cefmetazole,C1KC03
Cefmetazole,P08506
Cefmetazole,P02918
Pheniramine,P35367
Pitavastatin,P04035
Decitabine,P26358
Diphenoxylate,P35372
Diphenoxylate,P41143
Pyridoxal,O00764
Trimethaphan,Q9GZZ6
Nitric Oxide,P33402
Biperiden,P11229
Biperiden,Q15822
Vortioxetine,P08588
Vortioxetine,P31645
Vortioxetine,P08908
Vortioxetine,P46098
Vortioxetine,P28222
Vortioxetine,P34969
Rifapentine,P0A674
L-Alanine,P43007
L-Alanine,Q16719
L-Alanine,P21549
L-Alanine,Q5JTZ9
L-Alanine,Q8IUZ5
L-Alanine,P80404
L-Alanine,P24298
L-Alanine,Q9Y697
L-Alanine,Q9UHI5
L-Alanine,Q8TD30
L-Alanine,P49588
L-Alanine,Q9BYV1
L-Alanine,Q7Z2H8
Diethylstilbestrol,Q92731
Diethylstilbestrol,P62508
Diethylstilbestrol,P03372
Proguanil,P13922
Proguanil,P00374
Lactulose,P06864
Menadione,Q9BQB6
Menadione,P16083
Menadione,P02818
Menadione,P22891
Menadione,P00742
